"R1","R2","R3","P1","P2","P3","P4","P5","TYPE","A1","B1","C1","F1","G1","A2","B2","C2","F2","G2","A3","B3","C3","F3","G3","FC","REFS","COMMENTS","TIMESTAMP"
"C2H3","C3H7",,"C5H10",,,,,"assocMD","0.113E-24","-0.375E+01","0.494E+03","0.100E+02","0.100E+03","0.160E-10","0.000E+00","0.000E+00","0.250E+01","0.100E+03","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"By comparison with CH3 + CH3","2022-08-24 10:47:06"
"C2H5","C2H5",,"C4H10",,,,,"assocMD","6.400E-20","-3.500E+00","0.000E+00","1.000E+01","0.000E+00","2.000E-11","0.000E+00","0.000E+00","1.400E+00","0.000E+00","2.000E-11","0.000E+00","0.000E+00","1.400E+00","0.000E+00","0.6",,"k_inf from Shafir et al. 2003 - k0 from our semi empirical model - Hebrard [2012]","2022-08-24 10:47:06"
"C2H5","C3H5",,"C5H10",,,,,"assocMD","0.113E-24","-0.375E+01","0.494E+03","0.100E+02","0.100E+03","0.333E-12","0.000E+00","-0.660E+02","0.200E+01","0.100E+03","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"By comparison with CH3 + CH3","2022-08-24 10:47:06"
"C2H5","C3H7",,"C5H12",,,,,"assocMD","2.000E-17","-3.500E+00","0.000E+00","1.000E+01","0.000E+00","0.330E-10","0.000E+00","0.000E+00","1.600E+00","0.000E+00","3.300E-11","0.000E+00","0.000E+00","1.600E+01","0.000E+00","0.6",,"Tsang and Hampson - 1988 - Klippenstein et al. 2006","2022-08-24 10:47:06"
"C2H5","C4H3",,"C6H8",,,,,"assocMD","0.113E-24","-0.375E+01","0.494E+03","0.100E+02","0.100E+03","0.250E-10","0.000E+00","0.000E+00","0.100E+02","0.100E+03","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"k0 by comparison with CH3 + CH3 - k_inf by comparison with C2H3 + C2H5","2022-08-24 10:47:06"
"C3H3","C3H3",,"C6H6",,,,,"assocMD","1.000E-17","-2.540E+00","1.220E+02","1.000E+01","0.000E+00","1.500E-11","0.101E+00","-2.950E+02","2.000E+00","0.000E+00","1.500E-11","0.101E+00","-2.950E+02","1.000E+02","0.000E+00","0.6",,"k0 by comparison with H + C6H5 (Vuitton et al. [2012] - k_inf Georgievskii et al. [2007] ","2022-08-24 10:47:06"
"C3H3","C3H5",,"C6H8",,,,,"assocMD","1.000E-17","-2.540E+00","1.220E+02","1.000E+01","0.000E+00","1.100E-11","-0.166E+00","-3.120E+02","2.000E+00","0.000E+00","1.100E-11","-0.166E+00","-3.120E+02","1.000E+02","0.000E+00","0.6",,"k0 by comparison with H + C6H5 (Vuitton et al. [2012] - k_inf Georgievskii et al. [2007] ","2022-08-24 10:47:06"
"C3H5","C2H2",,"C5H7",,,,,"assocMD","0.330E-29","0.000E+00","0.740E+03","0.100E+02","0.100E+03","0.530E-13","0.000E+00","0.350E+04","0.100E+02","0.100E+03","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"By comparison with H + C2H2 - k_inf from Tsang [1991]","2022-08-24 10:47:06"
"C3H5","CH3C2H",,"C6H9",,,,,"assocMD","0.330E-29","0.000E+00","0.740E+03","0.100E+02","0.100E+03","0.530E-13","0.000E+00","0.350E+04","0.100E+02","0.100E+03","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"By comparison with H + C2H2 - k_inf from C3H5 + C2H2","2022-08-24 10:47:06"
"C3H5","CH2CCH2",,"C6H9",,,,,"assocMD","0.330E-29","0.000E+00","0.740E+03","0.100E+02","0.100E+03","0.530E-13","0.000E+00","0.350E+04","0.100E+02","0.100E+03","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"By comparison with H + C2H2 - k_inf from C3H5 + C2H2 ","2022-08-24 10:47:06"
"C3H5","C3H5",,"C6H10",,,,,"assocMD","0.113E-24","-0.375E+01","0.494E+03","0.100E+02","0.100E+03","0.170E-10","0.000E+00","-0.132E+03","0.200E+01","0.100E+03","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"By comparison with CH3 + CH3 - k_inf from Baulch et al. [1994]","2022-08-24 10:47:06"
"C3H5","C3H7",,"C6H12",,,,,"assocMD","0.113E-24","-0.375E+01","0.494E+03","0.100E+02","0.100E+03","0.340E-10","0.000E+00","-0.660E+02","0.200E+01","0.100E+03","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"By comparison with CH3 + CH3 - k_inf from Tsang [1991]","2022-08-24 10:47:06"
"C3H5","C4H2",,"C7H7",,,,,"assocMD","0.330E-29","0.000E+00","0.740E+03","0.100E+02","0.100E+03","0.530E-13","0.000E+00","0.350E+04","0.100E+02","0.100E+03","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"k0 by comparison with  H + C2H2 - k_inf by comparison with C3H5 + C2H2 ","2022-08-24 10:47:06"
"C3H7","C3H7",,"C6H14",,,,,"assocMD","0.977E-21","-0.639E+01","0.301E+03","0.100E+02","0.100E+03","0.170E-10","0.000E+00","0.000E+00","0.150E+01","0.100E+03","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"By comparison with C2H5 + C2H5 - k_inf from Tsang [1988]","2022-08-24 10:47:06"
"C3H7","C4H3",,"C7H10",,,,,"assocMD","0.113E-24","-0.375E+01","0.494E+03","0.100E+02","0.100E+03","0.160E-10","0.000E+00","0.000E+00","0.100E+02","0.100E+03","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"k0 by comparison with CH3 + CH3 - k_inf by comparison with C2H3 + C3H7 ","2022-08-24 10:47:06"
"C4H3","C2H2",,"C6H5",,,,,"assocMD","0.255E-21","-0.128E+02","0.589E+04","0.200E+01","0.100E+03","0.409E-15","0.470E+00","0.302E+04","0.200E+01","0.100E+03","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"Wang and Frenklach [1994] - - Wang & Frenklach 1997 -Westmoreland et al. 1989","2022-08-24 10:47:06"
"C4H3","C4H3",,"C6H5C2H",,,,,"assocMD","0.113E-24","-0.375E+01","0.494E+03","0.100E+02","0.100E+03","0.120E-09","0.000E+00","0.000E+00","0.100E+02","0.100E+03","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"k0 by comparison with CH3 + CH3 - k_inf by comparison with C2H3 + C2H3","2022-08-24 10:47:06"
"#C6H5","C2H2",,"SOOTC",,,,,"assocMD","0.389E-28","-0.408E+01","-0.403E+03","0.200E+01","0.100E+03","0.486E-12","0.156E+01","0.191E+04","0.200E+01","0.100E+03","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"Wang and Frenklach [1994]","2022-08-24 10:47:06"
"N4S","N4S",,"N2",,,,,"assocMD","0.410E-33","0.000E+00","0.000E+00","0.250E+01","0.100E+03","0.100E-09","0.000E+00","0.000E+00","0.200E+01","0.100E+03","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"k0 from Pravilov et al. [2001] / k_inf from capture rate theory","2022-08-24 10:47:06"
"NH2","H",,"NH3",,,,,"assocMD","0.100E-32","0.000E+00","0.000E+00","0.100E+02","0.100E+03","0.350E-11","0.000E+00","0.000E+00","0.200E+01","0.100E+03","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"Schofield et al. [1973] / Pagsberg et al. [1979]","2022-08-24 10:47:06"
"NH2","CH3",,"CH3NH2",,,,,"assocMD","0.180E-26","-0.385E+01","0.000E+00","0.200E+01","0.700E+01","0.130E-09","0.420E+00","0.000E+00","0.200E+01","0.700E+01","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"Jodkowski et al. [1995] - Xu et al. [1999]","2022-08-24 10:47:06"
"NH2","NH2",,"N2H4",,,,,"assocMD","5.700E-29","0.000E+00","0.000E+00","0.200E+01","0.100E+03","8.000E-11","0.000E+00","0.000E+00","0.160E+01","0.100E+03","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"Fagerström et al. [1995] - Bahnd and Macdonald 2008 - Stothard et al. 1995 - Klippenstein et al. 2009 - Altiney and Macdonald 2012 - Asatryan et al. 2012","2022-08-24 10:47:06"
"NH2","H2CN",,"H2CNNH2",,,,,"assocMD","1.000E-28","-3.500E+00","0.000E+00","0.100E+02","0.000E+00","1.000E-10","0.000E+00","0.000E+00","0.300E+01","0.000E+00","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"Yelle et al. 2010","2022-08-24 10:47:06"
"CN","H",,"HCN",,,,,"assocMD","0.852E-29","-0.220E+01","0.567E+03","0.100E+02","0.100E+03","0.173E-09","-0.500E+00","0.000E+00","0.100E+02","0.100E+03","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"Tsang et al. [1992]","2022-08-24 10:47:06"
"CN","CN",,"C2N2",,,,,"assocMD","0.322E-28","-0.261E+01","0.000E+00","0.300E+01","0.100E+03","0.940E-11","0.000E+00","0.000E+00","0.300E+01","0.100E+03","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"Tsang et al. [1992]","2022-08-24 10:47:06"
"HCN","H",,"H2CN",,,,,"assocMD","1.000E-34","0.000E+00","0.000E+00","0.300E+02","0.100E+03","9.800E-12","0.000E+00","2.076E+03","0.400E+01","0.100E+03","0.000E+00","0.000E+00","0.000E+00","3.000E+01","0.000E+00","0.6",,"DFT (M06-2X/cc-pVTZ)/RRKM calculations (this work) - see also Sumathi & Nguyen [1998] - Jiang & Guo [2013]","2022-08-24 10:47:06"
"H2CN","CH3",,"CH2NCH3",,,,,"assocMD","5.700E-27","-3.500E+00","0.000E+00","1.000E+01","0.000E+00","6.000E-11","0.000E+00","0.000E+00","3.000E+00","0.000E+00","5.000E-14","-1.500E+00","0.000E+00","1.000E+01","0.000E+00","0.6",,"By comparison with H2CN + H2CN (Pang et al 2009) and NH2 + H2CN (Yelle et al. 2010).","2022-08-24 10:47:06"
