REACTANTS;TYPE; ALPHA;BETA;GAMMA ; NBR;STRINGBR; REF_ALPHA;REF_BETA;REF_GAMMA;REF_BR ; COMMENTS;TIMESTAMP
"ArH+ + C2H4";"kooij";"Logn(1.17e-09,1.15)";"Delta(0)";"Delta(0)";2;"Dirg(0.73<C2H3+ + Ar + H2>,0.27<C2H5+ + Ar>;0.05,0.05)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"ArH+ + C2H6";"kooij";"Logn(1.4e-09,1.15)";"Delta(0)";"Delta(0)";2;"Dirg(0.04<C2H3+ + Ar + H2 + H2>,0.96<C2H5+ + Ar + H2>;0.05,0.05)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"ArH+ + C3H6";"kooij";"Logn(1.2e-09,1.2)";"Delta(0)";"Delta(0)";2;"Dirg(0.60<C2H3+ + Ar + CH4>,0.40<C3H5+ + Ar + H2>;0.05,0.05)";"Anicich2003";"NA";"NA";"Anicich2003;Smith1976";"NA";2022-08-19 09:23:57
"ArH+ + C6H6";"kooij";"Logn(1.4e-09,1.2)";"Delta(0)";"Delta(0)";3;"Dirg(0.40<C6H5+ + Ar + H2>,0.05<C6H6+ + Ar + H>,0.55<C6H7+ + Ar>;0.05,0.05,0.05)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"ArH+ + CH4";"kooij";"Logn(1.02e-09,1.3)";"Delta(0)";"Delta(0)";1;"CH5+ + Ar";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"ArH+ + H2";"kooij";"Logn(6.3e-10,1.4)";"Delta(0)";"Delta(0)";1;"H3+ + Ar";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"ArH+ + H2O";"kooij";"Logn(2e-09,2)";"Delta(0)";"Delta(0)";1;"H3O+ + Ar";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"ArH+ + N2";"kooij";"Logn(8e-10,1.3)";"Delta(0)";"Delta(0)";1;"N2H+ + Ar";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"ArH+ + NH3";"kooij";"Logn(2.4e-09,1.15)";"Delta(0)";"Delta(0)";2;"Diut(0.00<NH3+ + Ar + H>,0.75<NH4+ + Ar>;0.25,1)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C+ + C2H2";"kooij";"Logn(2.63e-09,1.1)";"Delta(0)";"Delta(0)";1;"C3H+ + H";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C+ + C2H3NH";"kooij";"Logn(8.1e-10,2)";"Delta(-5.0e-01)";"Delta(0)";1;"C2H3+ + HNC";"Quan2016";"Quan2016";"NA";"Quan2016";"NA";2022-08-19 09:23:57
"C+ + C2H4";"kooij";"Logn(1.5e-09,1.3)";"Delta(0)";"Delta(0)";5;"Dirg(0.8000E-01<C2H3+ + CH>,0.1500E+00<C2H4+ + C>,0.6000E-01<C3H+ + H2 + H>,0.2900E+00<C3H2+ + H2>,0.4200E+00<cC3H3+ + H>;0.8000E-01,0.4500E-01,0.6000E-01,0.8700E-01,0.1260E+00)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C+ + C2H6";"kooij";"Logn(1.65e-09,1.3)";"Delta(0)";"Delta(0)";6;"Dirg(0.5000E-01<C2H2+ + CH4>,0.3000E+00<C2H3+ + CH3>,0.7000E-01<C2H4+ + 3CH2>,0.1400E+00<C2H5+ + CH>,0.1000E-01<C3H2+ + H2 + H2>,0.4300E+00<cC3H3+ + H2 + H>;0.5000E-01,0.9000E-01,0.7000E-01,0.4200E-01,0.1000E-01,0.1290E+00)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C+ + C2N2";"kooij";"Logn(1.9e-09,1.3)";"Delta(0)";"Delta(0)";2;"Dirg(0.1100E+00<CCN+ + CN>,0.8900E+00<CNC+ + CN>;0.3300E-01,0.2670E+00)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C+ + C3H6";"kooij";"Logn(2e-09,1.25)";"Delta(0)";"Delta(0)";6;"Dirg(0.30<C2H3+ + C2H3>,0.20<C3H5+ + CH>,0.15<cC3H3+ + CH3>,0.15<C2H2+ + C2H4>,0.10<C3H6+ + C>,0.10<C4H3+ + H2 + H>;0.10,0.07,0.05,0.05,0.10,0.10)";"Anicich2003";"NA";"NA";"Anicich2003";"data for CH3CHCH2";2022-08-19 09:23:57
"C+ + C3H8";"kooij";"Logn(0.180E-08,1.3)";"Delta(0)";"Delta(0)";5;"Dirg(0.35<C2H3+ + C2H5>,0.20<cC3H3+ + H + CH4>,0.30<C3H7+ + CH>,0.10<C3H8+ + C>,0.05<C4H5+ + H2 + H>;0.10,0.06,0.10,0.10,0.05)";"Anicich1997";"NA";"NA";"Anicich1997;KIDA";"NA";2022-08-19 09:23:57
"C+ + C4H2";"kooij";"Logn(2.9e-09,1.3)";"Delta(0)";"Delta(0)";3;"Dirg(0.5000E+00<C5H+ + H>,0.4500E+00<C4H2+ + C>,0.5000E-01<C3H+ + C2H>;0.1500E+00,0.1350E+00,0.5000E-01)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C+ + C6H6";"kooij";"Logn(2.4e-09,1.25)";"Delta(0)";"Delta(0)";4;"Dirg(0.67<C6H6+ + C>,0.17<C5H3+ + C2H3>,0.10<C7H5+ + H>,0.06<cC3H3+ + C4H3>;0.07,0.06,0.10,0.06)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C+ + CH2CCH2";"kooij";"Logn(1.4e-09,1.2)";"Delta(0)";"Delta(0)";4;"Dirg(0.40<C4H2+ + H2>,0.25<cC3H3+ + CH>,0.20<C2H2+ + C2H2>,0.15<C3H4+ + C>;0.13,0.09,0.07,0.05)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C+ + CH3C2H";"kooij";"Logn(1.9e-09,1.25)";"Delta(0)";"Delta(0)";5;"Dirg(0.3<C4H2+ + H2>,0.3<C3H4+ + C>,0.2<cC3H3+ + CH>,0.1<C2H2+ + C2H2>,0.1<C2H3+ + C2H>;0.1,0.1,0.07,0.1,0.1)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C+ + CH3CHNH";"kooij";"Logn(1.65e-09,2)";"Delta(-5.00e-01)";"Delta(0)";1;"C2H4+ + HNC";"Quan2016";"Quan2016";"NA";"Quan2016";"NA";2022-08-19 09:23:57
"C+ + CH3CN";"kooij";"Logn(5.6e-09,1.2)";"Delta(0)";"Delta(0)";1;"CxHyNz+ + CxHyNz";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C+ + CH3NH2";"kooij";"Logn(3.2e-09,1.45)";"Delta(0)";"Delta(0)";4;"Dirg(0.01<CH3+ + HCN + H>,0.03<HCNH+ + CH3>,0.27<CH2NH2+ + CH>,0.69<CH3NH2+ + C>;0.01,0.03,0.09,0.07)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C+ + CH4";"kooij";"Logn(1.3e-09,1.1)";"Delta(0)";"Delta(0)";2;"Dirg(0.2800E+00<C2H2+ + H2>,0.7200E+00<C2H3+ + H>;0.8400E-01,0.2160E+00)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C+ + E";"dr";"Logn(4.67e-12,1.5)";"Nort(0.6,0.3,0.5,1.5)";"Delta(0)";1;"C + HV";"Woodall2007;Nahar1997";"Woodall2007";"NA";"NA";"NA";2022-08-19 09:23:57
"C+ + H2O";"kooij";"Logn(2.4e-09,1.15)";"Delta(0)";"Delta(0)";2;"Dirg(0.1000E+00<H2O+ + C>,0.9000E+00<HCO+ + H>;0.1000E+00,0.2700E+00)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C+ + HC2O";"kooij";"Logn(2e-09,3)";"Delta(0)";"Delta(0)";1;"CHCO+ + C";"KIDA";"NA";"NA";"KIDA";"NA";2022-08-19 09:23:57
"C+ + HC3N";"kooij";"Logn(5.5e-09,1.2)";"Delta(0)";"Delta(0)";4;"Dirg(0.5000E-01<C3+ + HCN>,0.7000E+00<C3H+ + CN>,0.2000E-01<CNC+ + C2H>,0.2300E+00<C4N+ + H>;0.5000E-01,0.2100E+00,0.2000E-01,0.6900E-01)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C+ + HCN";"kooij";"Logn(2.95e-09,1.15)";"Delta(0)";"Delta(0)";2;"Diri(1<CNC+ + H>,1<CCN+ + H>;1)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C+ + NH3";"kooij";"Logn(2.3e-09,1.1)";"Delta(0)";"Delta(0)";3;"Dirg(0.3200E+00<NH3+ + C>,0.5000E-01<HCN+ + H2>,0.6300E+00<HCNH+ + H>;0.9600E-01,0.5000E-01,0.1890E+00)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C10H11+ + E";"dr";"Logu(5e-07,3.0e-06)";"Unif(5e-01,1.5e+00)";"Delta(0)";1;"CxHy";"Plessis2010";"Plessis2010";"NA";"NA";"NA";2022-08-19 09:23:57
"C10H8+ + E";"dr";"Logu(5e-07,3.0e-06)";"Unif(5e-01,1.5e+00)";"Delta(0)";1;"CxHy";"Plessis2010";"Plessis2010";"NA";"NA";"NA";2022-08-19 09:23:57
"C10H9+ + E";"dr";"Logu(5e-07,3.0e-06)";"Unif(5e-01,1.5e+00)";"Delta(0)";1;"CxHy";"Plessis2010";"Plessis2010";"NA";"NA";"NA";2022-08-19 09:23:57
"C11H9+ + E";"dr";"Logu(5e-07,3.0e-06)";"Unif(5e-01,1.5e+00)";"Delta(0)";1;"CxHy";"Plessis2010";"Plessis2010";"NA";"NA";"NA";2022-08-19 09:23:57
"C2H+ + C";"kooij";"Logn(9.3e-10,2)";"Delta(0)";"Delta(0)";2;"Dirg(0.93<C3+ + H>,0.07<H+ + C3>;0.07,0.07)";"KIDA";"NA";"NA";"KIDA";"NA";2022-08-19 09:23:57
"C2H+ + C2H2";"kooij";"Logn(1.85e-09,1.3)";"Delta(0)";"Delta(0)";1;"C4H2+ + H";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H+ + C2H4";"kooij";"Logn(1.71e-09,1.1)";"Delta(0)";"Delta(0)";2;"Dirg(0.83<C4H3+ + H2>,0.17<C4H2+ + H2 + H>;0.09,0.05)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H+ + C2H6";"kooij";"Logn(2.9e-9,1.2)";"Delta(0)";"Delta(0)";3;"Dirg(0.91<cC3H3+ + CH4>,0.03<C4H4+ + H2 + H>,0.06<C4H5+ + H2>;0.09,0.03,0.06)";"Anicich2003";"NA";"NA";"Anicich2003;McEwan2007";"NA";2022-08-19 09:23:57
"C2H+ + C3H8";"kooij";"Logn(4e-09,1.2)";"Delta(0)";"Delta(0)";1;"CxHy+ + Products";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H+ + CH3CN";"kooij";"Logn(3.64e-09,1.6)";"Delta(0)";"Delta(0)";1;"CxHyNz+ + Products";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C2H+ + CH4";"kooij";"Logn(1.1e-09,1.2)";"Delta(0)";"Delta(0)";4;"Dirg(0.3400E+00<C2H2+ + CH3>,0.3400E+00<cC3H3+ + H2>,0.1200E+00<C3H4+ + H>,0.2000E+00<C3H5+ + HV>;0.1020E+00,0.1020E+00,0.3600E-01,0.6000E-01)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H+ + E";"dr";"Logn(2.7e-7,1.3)";"Nort(0.76,0.26,0.5,1.5)";"Delta(0)";3;"Dirg(0.43<1C2 + H>,0.39<CH + C>,0.18<C + C + H>;0.03,0.04,0.04)";"Florescu2006;Ehlerding2004";"Florescu2006;Ehlerding2004;physto";"NA";"Ehlerding2004";"NA";2022-08-19 09:23:57
"C2H+ + H2";"kooij";"Logn(1.24e-09,1.5)";"Delta(0)";"Delta(0)";1;"C2H2+ + H";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H+ + H2O";"ionpol1";"Logn(8.60e-10,2)";"Delta(5.41e+00)";"Delta(0)";1;"CH2CO+ + H";"KIDA";"KIDA";"NA";"KIDA";"NA";2022-08-19 09:23:57
"C2H+ + HC3N";"kooij";"Logn(3.8e-09,1.25)";"Delta(0)";"Delta(0)";4;"Dirg(0.2000E+00<C4H+ + HCN>,0.1200E+00<C4H2+ + CN>,0.3700E+00<HC3NH+ + 1C2>,0.3100E+00<HC5N+ + H>;0.6000E-01,0.3600E-01,0.1110E+00,0.9300E-01)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H+ + HCN";"kooij";"Logn(2.7e-09,1.1)";"Delta(0)";"Delta(0)";3;"Dirg(0.2000E+00<C2H2+ + CN>,0.3500E+00<HCNH+ + 1C2>,0.4500E+00<HC3N+ + H>;0.6000E-01,0.1050E+00,0.1350E+00)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H+ + N4S";"kooij";"Logn(9.5e-11,1.2)";"Delta(0)";"Delta(0)";1;"CH+ + CN";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H+ + NH3";"ionpol1";"Logn(1.06e-09,2)";"Delta(3.65e+00)";"Delta(0)";2;"Diri(1<NH4+ + 1C2>,1<CH2CN+ + H2>;1)";"KIDA";"KIDA";"NA";"KIDA";"NA";2022-08-19 09:23:57
"C2H2+ + C";"kooij";"Logn(6.9e-10,2)";"Delta(0)";"Delta(0)";2;"Dirg(0.35<C3+ + H2>,0.65<C3H+ + H>;0.10,0.10)";"KIDA";"NA";"NA";"KIDA";"NA";2022-08-19 09:23:57
"C2H2+ + C2H2";"kooij";"Logn(1.4e-09,1.15)";"Delta(0)";"Delta(0)";2;"Dirg(0.3200E+00<C4H2+ + H2>,0.6800E+00<C4H3+ + H>;0.10,0.07)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H2+ + C2H4";"kooij";"Logn(1.38e-09,1.15)";"Delta(0)";"Delta(0)";3;"Dirg(0.3000E+00<C2H4+ + C2H2>,0.4800E+00<cC3H3+ + CH3>,0.2200E+00<C4H5+ + H>;0.9000E-01,0.1440E+00,0.6600E-01)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H2+ + C2H6";"kooij";"Logn(1.38e-09,1.1)";"Delta(0)";"Delta(0)";7;"Dirg(0.17<C2H4+ + C2H4>,0.09<C2H5+ + C2H3>,0.06<cC3H3+ + H2 + CH3>,0.01<C3H4+ + CH4>,0.53<C3H5+ + CH3>,0.05<C4H5+ + H2 + H>,0.09<C4H7+ + H>;0.06,0.09,0.06,0.01,0.06,0.05,0.09)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H2+ + C3H6";"kooij";"Logn(1.3e-09,1.3)";"Delta(0)";"Delta(0)";1;"C3H6+ + C2H2";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H2+ + C3H8";"kooij";"Logn(1.4e-09,1.3)";"Delta(0)";"Delta(0)";4;"Dirg(0.15<C3H6+ + C2H4>,0.50<C3H7+ + C2H3>,0.30<C3H8+ + C2H2>,0.05<C4H7+ + CH3>;0.05,0.05,0.10,0.05)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H2+ + C4H2";"kooij";"Logn(1.4e-09,1.3)";"Delta(0)";"Delta(0)";2;"Dirg(0.90<C4H2+ + C2H2>,0.10<C6H2+ + H2>;0.09,0.10)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H2+ + CH2CHCN";"kooij";"Logn(4.3e-09,1.3)";"Delta(0)";"Delta(0)";4;"Dirg(0.15<cC3H3+ + CH2CN>,0.55<CH2CHCN+ + C2H2>,0.15<CH2CHCNH+ + C2H>,0.15<C5H5N+ + HV>;0.05,0.06,0.05,0.05)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C2H2+ + CH3C2H";"kooij";"Logn(1.5e-09,1.3)";"Delta(0)";"Delta(0)";3;"Dirg(0.5<C3H4+ + C2H2>,0.05<C3H5+ + C2H>,0.45<C5H5+ + H>;0.05,0.05,0.15)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H2+ + CH3CN";"kooij";"Logn(3.8e-09,1.25)";"Delta(0)";"Delta(0)";4;"Dirg(0.2200E+00<CH3CNH+ + C2H>,0.2800E+00<C3H4+ + HCN>,0.2800E+00<C3H5+ + CN>,0.2200E+00<C4H5N+ + HV>;0.6600E-01,0.8400E-01,0.8400E-01,0.6600E-01)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H2+ + CH3NH2";"kooij";"Logn(2.7e-09,1.25)";"Delta(0)";"Delta(0)";3;"Dirg(0.48<CH3NH3+ + C2H>,0.28<CH3NH2+ + C2H2>,0.24<CH2NH2+ + C2H3>;0.17,0.09,0.08)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C2H2+ + CH4";"kooij";"Logn(8.9e-10,1.1)";"Delta(0.0e+00)";"Delta(0)";2;"Dirg(0.2100E+00<C3H4+ + H2>,0.7900E+00<C3H5+ + H>;0.6300E-01,0.08)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H2+ + E";"dr";"Logu(2.7e-7,1e-06)";"Unif(0.5,1e+00)";"Delta(0)";6;"Dirg(0.5<C2H + H>,0.3<1C2 + H + H>,0.02<1C2 + H2>,0.05*Diri(1<1CH2 + C>,1<3CH2 + C>;1),0.13<CH + CH>;0.06,0.05,0.03,0.01,0.01)";"Florescu2006;physto";"Florescu2006;physto";"NA";"Derkatch1999";"NA";2022-08-19 09:23:57
"C2H2+ + H2";"kooij";"Logn(1e-11,1.3)";"Delta(0)";"Delta(0)";1;"C2H3+ + H";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H2+ + H2O";"kooij";"Logn(2.2e-10,1.1)";"Delta(0)";"Delta(0)";1;"H3O+ + C2H";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C2H2+ + HC3N";"kooij";"Logn(3.7e-10,1.3)";"Delta(0)";"Delta(0)";1;"C4H2+ + HCN";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H2+ + HCN";"kooij";"Logn(3.9e-10,1.3)";"Delta(0)";"Delta(0)";2;"Dirg(0.66<HCNH+ + C2H>,0.34<HC3NH+ + H>;0.07,0.11)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H2+ + N4S";"kooij";"Logn(2.5e-10,1.2)";"Delta(0)";"Delta(0)";3;"Dirg(0.10<CH+ + HCN>,0.30<CCN+ + H2>,0.60<CHCN+ + H>;0.10,0.10,0.06)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H2+ + NH3";"kooij";"Logn(3.1e-09,1.1)";"Delta(0)";"Delta(0)";2;"Dirg(0.69<NH3+ + C2H2>,0.31<NH4+ + C2H>;0.07,0.10)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C2H3+ + C2H2";"kooij";"Logn(2.4e-10,1.3)";"Delta(0)";"Delta(0)";1;"C4H3+ + H2";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H3+ + C2H4";"kooij";"Logn(8.2e-10,1.1)";"Delta(0)";"Delta(0)";1;"C2H5+ + C2H2";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H3+ + C2H6";"kooij";"Logn(6.2e-10,1.1)";"Delta(0)";"Delta(0)";3;"Dirg(0.4700E+00<C2H5+ + C2H4>,0.4000E+00<C3H5+ + CH4>,0.1300E+00<C4H7+ + H2>;0.1410E+00,0.1200E+00,0.3900E-01)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H3+ + C2N2";"kooij";"Logn(5.5e-10,1.4)";"Delta(0)";"Delta(0)";1;"C2HN2+ + C2H2";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H3+ + C3H6";"kooij";"Logn(8.7e-10,1.3)";"Delta(0)";"Delta(0)";1;"C4H5+ + CH4";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H3+ + C3H8";"kooij";"Logn(6.7e-10,1.25)";"Delta(0)";"Delta(0)";3;"Dirg(0.68<C3H7+ + C2H4>,0.28<C3H5+ + C2H6>,0.04<C4H7+ + CH4>;0.07,0.10,0.04)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C2H3+ + C6H6";"kooij";"Logn(2.4e-10,1.3)";"Delta(0)";"Delta(0)";1;"C6H7+ + C2H2";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C2H3+ + CH2CHCN";"kooij";"Logn(4.4e-09,1.3)";"Delta(0)";"Delta(0)";2;"Dirg(0.80<CH2CHCNH+ + C2H2>,0.20<C5H6N+ + HV>;0.08,0.07)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C2H3+ + CH3C2H";"kooij";"Logn(1.5e-09,1.3)";"Delta(0)";"Delta(0)";1;"C3H5+ + C2H2";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H3+ + CH4";"kooij";"Logn(1.9e-10,1.2)";"Delta(0.0e+00)";"Delta(0)";1;"C3H5+ + H2";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H3+ + E";"dr";"Logu(4.5e-7,16e-7)";"Nort(0.84,0.25,0.5,1.5)";"Delta(0)";7;"Dirg(0.29<C2H2 + H>,0.06<C2H + H + H>,0.584<C2H + H2>,0.03<1C2 + H2 + H>,0.006<CH3 + C>,0.03*Diri(1<1CH2 + CH>,1<3CH2 + CH>;1);0.04,0.03,0.06,0.01,0.002,0.01)";"Florescu2006;physto;Adams2006;Kalhori2002";"Florescu2006;physto;Adams2006;Kalhori2002";"NA";"Florescu2006;Kalhori2002";"NA";2022-08-19 09:23:57
"C2H3+ + H";"kooij";"Logn(6.8e-11,1.2)";"Delta(0)";"Delta(0)";1;"C2H2+ + H2";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H3+ + H2O";"kooij";"Logn(1.11e-09,1.1)";"Delta(0)";"Delta(0)";1;"H3O+ + C2H2";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C2H3+ + HC3N";"kooij";"Logn(3.8e-09,1.2)";"Delta(0)";"Delta(0)";1;"HC3NH+ + C2H2";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H3+ + HCN";"kooij";"Logn(2.3e-09,1.4)";"Delta(0)";"Delta(0)";1;"HCNH+ + C2H2";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H3+ + N4S";"kooij";"Logn(2.2e-11,1.4)";"Delta(0)";"Delta(0)";2;"Diut(0.9<CHCN+ + H2>,0.0<CHCNH+ + H>;1.0,0.1)";"McEwan2007";"NA";"NA";"McEwan2007";"Check product CHCNH+ ???";2022-08-19 09:23:57
"C2H3+ + NH3";"kooij";"Logn(2.48e-09,1.1)";"Delta(0)";"Delta(0)";1;"NH4+ + C2H2";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C2H4+ + C2H2";"kooij";"Logn(8.4e-10,1.1)";"Delta(0)";"Delta(0)";2;"Dirg(0.77<cC3H3+ + CH3>,0.23<C4H5+ + H>;0.08,0.08)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H4+ + C2H4";"kooij";"Logn(7.9e-10,1.1)";"Delta(0)";"Delta(0)";3;"Dirg(0.06<C3H4+ + CH4>,0.89<C3H5+ + CH3>,0.05<C4H7+ + H>;0.06,0.09,0.05)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H4+ + C2H6";"kooij";"Logn(5.15e-12,1.1)";"Delta(0)";"Delta(0)";2;"Dirg(0.07<C3H6+ + CH4>,0.93<C3H7+ + CH3>;0.07,0.09)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H4+ + C3H6";"kooij";"Logn(1.3e-10,1.3)";"Delta(0)";"Delta(0)";2;"Dirg(0.90<C3H6+ + C2H4>,0.10<C3H7+ + C2H3>;0.09,0.10)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H4+ + C3H8";"kooij";"Logn(1.2e-09,1.3)";"Delta(0)";"Delta(0)";2;"Dirg(0.55<C3H6+ + C2H6>,0.45<C3H7+ + C2H5>;0.06,0.06)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H4+ + CH3C2H";"kooij";"Logn(1.1e-09,1.3)";"Delta(0)";"Delta(0)";3;"Dirg(0.20<C3H4+ + C2H4>,0.30<C4H5+ + CH3>,0.50<C5H7+ + H>;0.07,0.10,0.05)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H4+ + CH3CN";"kooij";"Logn(3.2e-09,1.2)";"Delta(0)";"Delta(0)";2;"Dirg(0.89<CH3CNH+ + C2H3>,0.11<CxHyNz+ + Products>;0.09,0.10)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C2H4+ + CH3NH2";"kooij";"Logn(1.7e-09,1.2)";"Delta(0)";"Delta(0)";2;"Dirg(0.38<CH3NH3+ + C2H3>,0.62<CxHyNz+ + Products>;0.13,0.06)";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"C2H4+ + E";"dr";"Logn(5.7e-7,1.11)";"Nort(0.76,0.76,0.5,1.5)";"Delta(0)";9;"Dirg(0.11<C2H3 + H>,0.66<C2H2 + H + H>,0.06<C2H2 + H2>,0.10<C2H + H2 + H>,0.01<CH4 + C>,0.02<CH3 + CH>,0.04*Diri(1<1CH2 + 1CH2>,1<3CH2 + 1CH2>,1<3CH2 + 3CH2>;1);0.07,0.06,0.03,0.04,0.01,0.02,0.02)";"Ehlerding2004";"Ehlerding2004;Adams2006";"NA";"Ehlerding2004";"NA";2022-08-19 09:23:57
"C2H4+ + H";"kooij";"Logn(3e-10,1.2)";"Delta(0)";"Delta(0)";1;"C2H3+ + H2";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"C2H4+ + HC3N";"kooij";"Logn(1.5e-09,1.15)";"Delta(0)";"Delta(0)";2;"Dirg(0.85<HC3NH+ + C2H3>,0.15<C5H4N+ + H>;0.09,0.05)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
