REACTANTS;TYPE; ALPHA;BETA;GAMMA ; NBR;STRINGBR; REF_ALPHA;REF_BETA;REF_GAMMA;REF_BR ; COMMENTS;TIMESTAMP
"N2H+ + C2H6";"kooij";"Logn(1.3e-09,1.35)";"Delta(0)";"Delta(0)";2;"Dirg(0.87<C2H5+ + H2 + N2>,0.13<C2H7+ + N2>;0.09,0.05)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"N2H+ + C2N2";"kooij";"Logn(1.2e-09,1.3)";"Delta(0)";"Delta(0)";1;"C2HN2+ + N2";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"N2H+ + C4H2";"kooij";"Logn(1.1e-09,1.3)";"Delta(0)";"Delta(0)";1;"C4H3+ + N2";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"N2H+ + C6H6";"kooij";"Logn(1.5e-09,1.15)";"Delta(0)";"Delta(0)";1;"C6H7+ + N2";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"N2H+ + CH2CCH2";"kooij";"Logn(1.4e-09,1.15)";"Delta(0)";"Delta(0)";1;"C3H5+ + N2";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"N2H+ + CH2CHCN";"kooij";"Logn(1.5e-09,1.15)";"Delta(0)";"Delta(0)";1;"CH2CHCNH+ + N2";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"N2H+ + CH3C2H";"kooij";"Logn(1.5e-09,1.15)";"Delta(0)";"Delta(0)";1;"C3H5+ + N2";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"N2H+ + CH3CN";"kooij";"Logn(4.1e-09,1.25)";"Delta(0)";"Delta(0)";1;"CH3CNH+ + N2";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"N2H+ + CH4";"kooij";"Logn(8.9e-10,1.3)";"Delta(0)";"Delta(0)";1;"CH5+ + N2";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"N2H+ + CO";"kooij";"Logn(8.8e-10,1.25)";"Delta(0)";"Delta(0)";1;"HCO+ + N2";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"N2H+ + CO2";"kooij";"Logn(1.07e-09,1.2)";"Delta(0)";"Delta(0)";1;"HCO2+ + N2";"Anicich1993";"NA";"NA";"Anicich1993";"NA";2022-08-19 09:23:57
"N2H+ + E";"dr";"Logn(2e-7,1.5)";"Nort(0.5,0.25,0.5,1.5)";"Delta(0)";2;"Diut(0.95<N2 + H>,0<NH + N4S>;1,0.05)";"Florescu2006;Geppert2005;Adams2005;Geppert2004a;Adams1984;Amano1990;Rosati2004;Poterya2005";"Geppert2005;Adams2005;Amano1990;Poterya2005";"NA";"Molek2007;Molek2009;Adams1984";"NA";2022-08-19 09:23:57
"N2H+ + H2CO";"kooij";"Logn(3.3e-09,1.25)";"Delta(0)";"Delta(0)";1;"CH2OH+ + N2";"Anicich1993";"NA";"NA";"Anicich1993";"NA";2022-08-19 09:23:57
"N2H+ + H2O";"kooij";"Logn(2.6e-09,1.1)";"Delta(0)";"Delta(0)";1;"H3O+ + N2";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"N2H+ + HC2O";"ionpol1";"Logn(1.3e-09,2)";"Delta(2.8e+00)";"Delta(0)";1;"CH2CO+ + N2";"KIDA";"KIDA";"NA";"KIDA";"NA";2022-08-19 09:23:57
"N2H+ + HC3N";"kooij";"Logn(4.2e-09,1.2)";"Delta(0)";"Delta(0)";1;"HC3NH+ + N2";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"N2H+ + HCN";"kooij";"Logn(3.2e-09,1.2)";"Delta(0)";"Delta(0)";1;"HCNH+ + N2";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"N2H+ + NH3";"kooij";"Logn(2.3e-09,1.2)";"Delta(0)";"Delta(0)";1;"NH4+ + N2";"Anicich2003";"NA";"NA";"Anicich2003";"NA";2022-08-19 09:23:57
"N3P+ + C2H2";"kooij";"Logn(1.42e-9,1.2)";"Delta(0)";"Delta(0)";3;"Dirg(0.70<C2H2+ + N4S>,0.15<CNC+ + H2>,0.15<CHNC+ + H>;0.07,0.05,0.05)";"Dutuit2013";"NA";"NA";"Dutuit2013;Anicich2004";"NA";2022-08-19 09:23:57
"N3P+ + C2H4";"kooij";"Logn(1.58e-9,1.2)";"Delta(0)";"Delta(0)";7;"Dirg(0.12<C2H2+ + NH2>,0.32<C2H3+ + NH>,0.38<C2H4+ + N4S>,0.02<HCN+ + CH3>,0.10<HCNH+ + 1CH2>,0.01<CHNC+ + H2 + H>,0.05<CH2CN+ + H2>;0.04,0.11,0.13,0.02,0.10,0.01,0.05)";"Dutuit2013";"NA";"NA";"Dutuit2013;Anicich2004";"NA";2022-08-19 09:23:57
"N3P+ + C2H6";"kooij";"Logn(1.6e-09,2)";"Delta(0.0e+00)";"Delta(0)";4;"Dirg(0.10<C2H5+ + NH>,0.55<C2H4+ + NH2>,0.25<C2H3+ + NH3>,0.10<HCNH+ + CH4>;0.03,0.06,0.08,0.03)";"Dutuit2013";"NA";"NA";"Dutuit2013";"NA";2022-08-19 09:23:57
"N3P+ + C2N2";"kooij";"Logn(1.7e-09,1.3)";"Delta(0.0e+00)";"Delta(0)";2;"Dirg(0.80<CNC+ + N2>,0.20<C2N2+ + N4S>;0.08,0.07)";"McEwan2007";"NA";"NA";"McEwan2007";"NA";2022-08-19 09:23:57
"N3P+ + C3H8";"kooij";"Logn(1.8e-09,1.2)";"Delta(0.0e+00)";"Delta(0)";7;"Dirg(0.12<C2H3+ + CH4 + NH>,0.25<C2H4+ + CH3 + NH>,0.36<C2H5+ + 3CH2 + NH>,0.11<C3H5+ + NH3>,0.05<C3H6+ + NH2>,0.09<C3H7+ + NH>,0.02<C3H8+ + N4S>;0.04,0.07,0.12,0.04,0.05,0.09,0.02)";"Dutuit2013";"NA";"NA";"Dutuit2013";"NA";2022-08-19 09:23:57
"N3P+ + C6H6";"kooij";"Logn(2e-9,1.25)";"Delta(0)";"Delta(0)";6;"Dirg(0.68<C6H6+ + N4S>,0.07<C6H5+ + NH>,0.01<C6H4+ + NH2>,0.07<C5H4+ + HCN + H>,0.05<C4H4+ + CH2CN>,0.12<cC3H3+ + C2H2 + HCN>;0.07,0.07,0.01,0.07,0.05,0.04)";"Arnold1999;Vuitton2007";"NA";"NA";"Arnold1999;Vuitton2007";"NA";2022-08-19 09:23:57
