 Lambda  Total   SO/O     S/O2     SO2band  SO2+    
 2292.0 3.73E-20 0.00E+00 0.00E+00 3.73E-20 0.00E+00
 2293.0 2.88E-20 0.00E+00 0.00E+00 2.88E-20 0.00E+00
 2294.0 2.40E-20 0.00E+00 0.00E+00 2.40E-20 0.00E+00
 2295.0 2.55E-20 0.00E+00 0.00E+00 2.55E-20 0.00E+00
 2296.0 4.98E-20 0.00E+00 0.00E+00 4.98E-20 0.00E+00
 2297.0 1.72E-19 0.00E+00 0.00E+00 1.72E-19 0.00E+00
 2298.0 2.19E-19 0.00E+00 0.00E+00 2.19E-19 0.00E+00
 2299.0 2.29E-19 0.00E+00 0.00E+00 2.29E-19 0.00E+00
 2300.0 1.67E-19 0.00E+00 0.00E+00 1.67E-19 0.00E+00
 2301.0 1.24E-19 0.00E+00 0.00E+00 1.24E-19 0.00E+00
 2302.0 9.25E-20 0.00E+00 0.00E+00 9.25E-20 0.00E+00
 2303.0 6.95E-20 0.00E+00 0.00E+00 6.95E-20 0.00E+00
 2304.0 6.23E-20 0.00E+00 0.00E+00 6.23E-20 0.00E+00
 2305.0 5.85E-20 0.00E+00 0.00E+00 5.85E-20 0.00E+00
 2306.0 4.86E-20 0.00E+00 0.00E+00 4.86E-20 0.00E+00
 2307.0 4.25E-20 0.00E+00 0.00E+00 4.25E-20 0.00E+00
 2308.0 6.49E-20 0.00E+00 0.00E+00 6.49E-20 0.00E+00
 2309.0 8.22E-20 0.00E+00 0.00E+00 8.22E-20 0.00E+00
 2310.0 6.63E-20 0.00E+00 0.00E+00 6.63E-20 0.00E+00
 2311.0 4.96E-20 0.00E+00 0.00E+00 4.96E-20 0.00E+00
 2312.0 3.67E-20 0.00E+00 0.00E+00 3.67E-20 0.00E+00
 2313.0 3.01E-20 0.00E+00 0.00E+00 3.01E-20 0.00E+00
 2314.0 2.76E-20 0.00E+00 0.00E+00 2.76E-20 0.00E+00
 2315.0 2.60E-20 0.00E+00 0.00E+00 2.60E-20 0.00E+00
 2316.0 2.45E-20 0.00E+00 0.00E+00 2.45E-20 0.00E+00
 2317.0 2.54E-20 0.00E+00 0.00E+00 2.54E-20 0.00E+00
 2318.0 4.99E-20 0.00E+00 0.00E+00 4.99E-20 0.00E+00
 2319.0 7.86E-20 0.00E+00 0.00E+00 7.86E-20 0.00E+00
 2320.0 6.63E-20 0.00E+00 0.00E+00 6.63E-20 0.00E+00
 2321.0 5.16E-20 0.00E+00 0.00E+00 5.16E-20 0.00E+00
 2322.0 4.11E-20 0.00E+00 0.00E+00 4.11E-20 0.00E+00
 2323.0 3.68E-20 0.00E+00 0.00E+00 3.68E-20 0.00E+00
 2324.0 3.78E-20 0.00E+00 0.00E+00 3.78E-20 0.00E+00
 2325.0 4.77E-20 0.00E+00 0.00E+00 4.77E-20 0.00E+00
 2326.0 4.18E-20 0.00E+00 0.00E+00 4.18E-20 0.00E+00
 2327.0 4.02E-20 0.00E+00 0.00E+00 4.02E-20 0.00E+00
 2328.0 6.51E-20 0.00E+00 0.00E+00 6.51E-20 0.00E+00
 2329.0 8.17E-20 0.00E+00 0.00E+00 8.17E-20 0.00E+00
 2330.0 5.94E-20 0.00E+00 0.00E+00 5.94E-20 0.00E+00
 2331.0 4.67E-20 0.00E+00 0.00E+00 4.67E-20 0.00E+00
 2332.0 3.56E-20 0.00E+00 0.00E+00 3.56E-20 0.00E+00
 2333.0 2.77E-20 0.00E+00 0.00E+00 2.77E-20 0.00E+00
 2334.0 2.39E-20 0.00E+00 0.00E+00 2.39E-20 0.00E+00
 2335.0 2.24E-20 0.00E+00 0.00E+00 2.24E-20 0.00E+00
 2336.0 2.20E-20 0.00E+00 0.00E+00 2.20E-20 0.00E+00
 2337.0 2.29E-20 0.00E+00 0.00E+00 2.29E-20 0.00E+00
 2338.0 2.27E-20 0.00E+00 0.00E+00 2.27E-20 0.00E+00
 2339.0 2.38E-20 0.00E+00 0.00E+00 2.38E-20 0.00E+00
 2340.0 2.35E-20 0.00E+00 0.00E+00 2.35E-20 0.00E+00
 2341.0 2.26E-20 0.00E+00 0.00E+00 2.26E-20 0.00E+00
 2342.0 2.09E-20 0.00E+00 0.00E+00 2.09E-20 0.00E+00
 2343.0 2.14E-20 0.00E+00 0.00E+00 2.14E-20 0.00E+00
 2344.0 2.88E-20 0.00E+00 0.00E+00 2.88E-20 0.00E+00
 2345.0 3.13E-20 0.00E+00 0.00E+00 3.13E-20 0.00E+00
 2346.0 3.24E-20 0.00E+00 0.00E+00 3.24E-20 0.00E+00
 2347.0 3.42E-20 0.00E+00 0.00E+00 3.42E-20 0.00E+00
 2348.0 3.51E-20 0.00E+00 0.00E+00 3.51E-20 0.00E+00
 2349.0 5.39E-20 0.00E+00 0.00E+00 5.39E-20 0.00E+00
 2350.0 5.01E-20 0.00E+00 0.00E+00 5.01E-20 0.00E+00
 2351.0 4.27E-20 0.00E+00 0.00E+00 4.27E-20 0.00E+00
 2352.0 3.70E-20 0.00E+00 0.00E+00 3.70E-20 0.00E+00
 2353.0 3.57E-20 0.00E+00 0.00E+00 3.57E-20 0.00E+00
 2354.0 3.66E-20 0.00E+00 0.00E+00 3.66E-20 0.00E+00
 2355.0 3.74E-20 0.00E+00 0.00E+00 3.74E-20 0.00E+00
 2356.0 3.69E-20 0.00E+00 0.00E+00 3.69E-20 0.00E+00
 2357.0 3.61E-20 0.00E+00 0.00E+00 3.61E-20 0.00E+00
 2358.0 3.11E-20 0.00E+00 0.00E+00 3.11E-20 0.00E+00
 2359.0 2.96E-20 0.00E+00 0.00E+00 2.96E-20 0.00E+00
 2360.0 2.78E-20 0.00E+00 0.00E+00 2.78E-20 0.00E+00
 2361.0 2.53E-20 0.00E+00 0.00E+00 2.53E-20 0.00E+00
 2362.0 2.53E-20 0.00E+00 0.00E+00 2.53E-20 0.00E+00
 2363.0 2.50E-20 0.00E+00 0.00E+00 2.50E-20 0.00E+00
 2364.0 2.48E-20 0.00E+00 0.00E+00 2.48E-20 0.00E+00
 2365.0 2.67E-20 0.00E+00 0.00E+00 2.67E-20 0.00E+00
 2366.0 3.02E-20 0.00E+00 0.00E+00 3.02E-20 0.00E+00
 2367.0 3.17E-20 0.00E+00 0.00E+00 3.17E-20 0.00E+00
 2368.0 3.02E-20 0.00E+00 0.00E+00 3.02E-20 0.00E+00
 2369.0 2.77E-20 0.00E+00 0.00E+00 2.77E-20 0.00E+00
 2370.0 2.52E-20 0.00E+00 0.00E+00 2.52E-20 0.00E+00
 2371.0 2.73E-20 0.00E+00 0.00E+00 2.73E-20 0.00E+00
 2372.0 3.11E-20 0.00E+00 0.00E+00 3.11E-20 0.00E+00
 2373.0 3.18E-20 0.00E+00 0.00E+00 3.18E-20 0.00E+00
 2374.0 2.89E-20 0.00E+00 0.00E+00 2.89E-20 0.00E+00
 2375.0 2.60E-20 0.00E+00 0.00E+00 2.60E-20 0.00E+00
 2376.0 2.57E-20 0.00E+00 0.00E+00 2.57E-20 0.00E+00
 2377.0 2.41E-20 0.00E+00 0.00E+00 2.41E-20 0.00E+00
 2378.0 2.70E-20 0.00E+00 0.00E+00 2.70E-20 0.00E+00
 2379.0 3.45E-20 0.00E+00 0.00E+00 3.45E-20 0.00E+00
 2380.0 3.76E-20 0.00E+00 0.00E+00 3.76E-20 0.00E+00
 2381.0 3.50E-20 0.00E+00 0.00E+00 3.50E-20 0.00E+00
 2382.0 3.22E-20 0.00E+00 0.00E+00 3.22E-20 0.00E+00
 2383.0 3.17E-20 0.00E+00 0.00E+00 3.17E-20 0.00E+00
 2384.0 3.18E-20 0.00E+00 0.00E+00 3.18E-20 0.00E+00
 2385.0 3.18E-20 0.00E+00 0.00E+00 3.18E-20 0.00E+00
 2386.0 3.24E-20 0.00E+00 0.00E+00 3.24E-20 0.00E+00
 2387.0 3.16E-20 0.00E+00 0.00E+00 3.16E-20 0.00E+00
 2388.0 3.21E-20 0.00E+00 0.00E+00 3.21E-20 0.00E+00
 2389.0 3.66E-20 0.00E+00 0.00E+00 3.66E-20 0.00E+00
 2390.0 3.41E-20 0.00E+00 0.00E+00 3.41E-20 0.00E+00
 2391.0 3.06E-20 0.00E+00 0.00E+00 3.06E-20 0.00E+00
 2392.0 3.00E-20 0.00E+00 0.00E+00 3.00E-20 0.00E+00
 2393.0 3.41E-20 0.00E+00 0.00E+00 3.41E-20 0.00E+00
 2394.0 3.46E-20 0.00E+00 0.00E+00 3.46E-20 0.00E+00
 2395.0 3.70E-20 0.00E+00 0.00E+00 3.70E-20 0.00E+00
 2396.0 4.42E-20 0.00E+00 0.00E+00 4.42E-20 0.00E+00
 2397.0 4.31E-20 0.00E+00 0.00E+00 4.31E-20 0.00E+00
 2398.0 4.01E-20 0.00E+00 0.00E+00 4.01E-20 0.00E+00
 2399.0 4.12E-20 0.00E+00 0.00E+00 4.12E-20 0.00E+00
