 Lambda  Total   SO/O     S/O2     SO2band  SO2+    
 1725.0 6.33E-19 3.17E-19 3.17E-19 0.00E+00 0.00E+00
 1726.0 6.22E-19 3.11E-19 3.11E-19 0.00E+00 0.00E+00
 1727.0 6.77E-19 3.39E-19 3.39E-19 0.00E+00 0.00E+00
 1728.0 8.35E-19 4.17E-19 4.17E-19 0.00E+00 0.00E+00
 1729.0 8.06E-19 4.03E-19 4.03E-19 0.00E+00 0.00E+00
 1730.0 7.10E-19 3.55E-19 3.55E-19 0.00E+00 0.00E+00
 1731.0 6.36E-19 3.18E-19 3.18E-19 0.00E+00 0.00E+00
 1732.0 5.32E-19 2.66E-19 2.66E-19 0.00E+00 0.00E+00
 1733.0 4.50E-19 2.25E-19 2.25E-19 0.00E+00 0.00E+00
 1734.0 4.55E-19 2.27E-19 2.27E-19 0.00E+00 0.00E+00
 1735.0 6.17E-19 3.08E-19 3.08E-19 0.00E+00 0.00E+00
 1736.0 7.89E-19 3.95E-19 3.95E-19 0.00E+00 0.00E+00
 1737.0 1.06E-18 5.30E-19 5.30E-19 0.00E+00 0.00E+00
 1738.0 1.07E-18 5.35E-19 5.35E-19 0.00E+00 0.00E+00
 1739.0 9.24E-19 4.62E-19 4.62E-19 0.00E+00 0.00E+00
 1740.0 8.42E-19 4.21E-19 4.21E-19 0.00E+00 0.00E+00
 1741.0 7.51E-19 3.75E-19 3.75E-19 0.00E+00 0.00E+00
 1742.0 7.88E-19 3.94E-19 3.94E-19 0.00E+00 0.00E+00
 1743.0 6.93E-19 3.46E-19 3.46E-19 0.00E+00 0.00E+00
 1744.0 9.10E-19 4.55E-19 4.55E-19 0.00E+00 0.00E+00
 1745.0 8.40E-19 4.20E-19 4.20E-19 0.00E+00 0.00E+00
 1746.0 8.28E-19 4.14E-19 4.14E-19 0.00E+00 0.00E+00
 1747.0 8.21E-19 4.11E-19 4.11E-19 0.00E+00 0.00E+00
 1748.0 9.29E-19 4.65E-19 4.65E-19 0.00E+00 0.00E+00
 1749.0 1.09E-18 5.45E-19 5.45E-19 0.00E+00 0.00E+00
 1750.0 1.06E-18 5.30E-19 5.30E-19 0.00E+00 0.00E+00
 1751.0 1.06E-18 5.30E-19 5.30E-19 0.00E+00 0.00E+00
 1752.0 1.18E-18 5.90E-19 5.90E-19 0.00E+00 0.00E+00
 1753.0 1.36E-18 6.80E-19 6.80E-19 0.00E+00 0.00E+00
 1754.0 1.05E-18 5.25E-19 5.25E-19 0.00E+00 0.00E+00
 1755.0 8.17E-19 4.08E-19 4.08E-19 0.00E+00 0.00E+00
 1756.0 7.39E-19 3.69E-19 3.69E-19 0.00E+00 0.00E+00
 1757.0 9.48E-19 4.74E-19 4.74E-19 0.00E+00 0.00E+00
 1758.0 1.02E-18 5.10E-19 5.10E-19 0.00E+00 0.00E+00
 1759.0 9.23E-19 4.62E-19 4.62E-19 0.00E+00 0.00E+00
 1760.0 9.32E-19 4.66E-19 4.66E-19 0.00E+00 0.00E+00
 1761.0 1.47E-18 7.35E-19 7.35E-19 0.00E+00 0.00E+00
 1762.0 2.01E-18 1.01E-18 1.01E-18 0.00E+00 0.00E+00
 1763.0 1.51E-18 7.55E-19 7.55E-19 0.00E+00 0.00E+00
 1764.0 1.14E-18 5.70E-19 5.70E-19 0.00E+00 0.00E+00
 1765.0 1.18E-18 5.90E-19 5.90E-19 0.00E+00 0.00E+00
 1766.0 1.37E-18 6.85E-19 6.85E-19 0.00E+00 0.00E+00
 1767.0 1.11E-18 5.55E-19 5.55E-19 0.00E+00 0.00E+00
 1768.0 9.31E-19 4.66E-19 4.66E-19 0.00E+00 0.00E+00
 1769.0 8.54E-19 4.27E-19 4.27E-19 0.00E+00 0.00E+00
 1770.0 1.03E-18 5.15E-19 5.15E-19 0.00E+00 0.00E+00
 1771.0 1.98E-18 9.90E-19 9.90E-19 0.00E+00 0.00E+00
 1772.0 1.66E-18 8.30E-19 8.30E-19 0.00E+00 0.00E+00
 1773.0 1.47E-18 7.35E-19 7.35E-19 0.00E+00 0.00E+00
 1774.0 1.47E-18 7.35E-19 7.35E-19 0.00E+00 0.00E+00
 1775.0 2.16E-18 1.08E-18 1.08E-18 0.00E+00 0.00E+00
 1776.0 1.87E-18 9.35E-19 9.35E-19 0.00E+00 0.00E+00
 1777.0 1.38E-18 6.90E-19 6.90E-19 0.00E+00 0.00E+00
 1778.0 1.26E-18 6.30E-19 6.30E-19 0.00E+00 0.00E+00
 1779.0 1.16E-18 5.80E-19 5.80E-19 0.00E+00 0.00E+00
 1780.0 1.41E-18 7.05E-19 7.05E-19 0.00E+00 0.00E+00
 1781.0 1.59E-18 7.95E-19 7.95E-19 0.00E+00 0.00E+00
 1782.0 1.36E-18 6.80E-19 6.80E-19 0.00E+00 0.00E+00
 1783.0 1.36E-18 6.80E-19 6.80E-19 0.00E+00 0.00E+00
 1784.0 1.99E-18 9.95E-19 9.95E-19 0.00E+00 0.00E+00
 1785.0 2.41E-18 1.20E-18 1.20E-18 0.00E+00 0.00E+00
 1786.0 1.87E-18 9.35E-19 9.35E-19 0.00E+00 0.00E+00
 1787.0 2.11E-18 1.05E-18 1.05E-18 0.00E+00 0.00E+00
 1788.0 2.08E-18 1.04E-18 1.04E-18 0.00E+00 0.00E+00
 1789.0 1.96E-18 9.80E-19 9.80E-19 0.00E+00 0.00E+00
 1790.0 1.93E-18 9.65E-19 9.65E-19 0.00E+00 0.00E+00
 1791.0 1.69E-18 8.45E-19 8.45E-19 0.00E+00 0.00E+00
 1792.0 1.47E-18 7.35E-19 7.35E-19 0.00E+00 0.00E+00
 1793.0 1.72E-18 8.60E-19 8.60E-19 0.00E+00 0.00E+00
 1794.0 2.00E-18 1.00E-18 1.00E-18 0.00E+00 0.00E+00
 1795.0 1.68E-18 8.40E-19 8.40E-19 0.00E+00 0.00E+00
 1796.0 1.86E-18 9.30E-19 9.30E-19 0.00E+00 0.00E+00
 1797.0 2.20E-18 1.10E-18 1.10E-18 0.00E+00 0.00E+00
 1798.0 2.52E-18 1.26E-18 1.26E-18 0.00E+00 0.00E+00
 1799.0 2.66E-18 1.33E-18 1.33E-18 0.00E+00 0.00E+00
 1800.0 2.58E-18 1.29E-18 1.29E-18 0.00E+00 0.00E+00
 1801.0 2.18E-18 1.09E-18 1.09E-18 0.00E+00 0.00E+00
 1802.0 2.29E-18 1.15E-18 1.15E-18 0.00E+00 0.00E+00
 1803.0 2.20E-18 1.10E-18 1.10E-18 0.00E+00 0.00E+00
 1804.0 1.80E-18 9.00E-19 9.00E-19 0.00E+00 0.00E+00
 1805.0 1.58E-18 7.90E-19 7.90E-19 0.00E+00 0.00E+00
 1806.0 1.83E-18 9.15E-19 9.15E-19 0.00E+00 0.00E+00
 1807.0 1.80E-18 9.00E-19 9.00E-19 0.00E+00 0.00E+00
 1808.0 2.65E-18 1.33E-18 1.33E-18 0.00E+00 0.00E+00
 1809.0 2.55E-18 1.27E-18 1.27E-18 0.00E+00 0.00E+00
 1810.0 2.26E-18 1.13E-18 1.13E-18 0.00E+00 0.00E+00
 1811.0 2.59E-18 1.30E-18 1.30E-18 0.00E+00 0.00E+00
 1812.0 3.94E-18 1.97E-18 1.97E-18 0.00E+00 0.00E+00
 1813.0 3.36E-18 1.68E-18 1.68E-18 0.00E+00 0.00E+00
 1814.0 2.93E-18 1.46E-18 1.46E-18 0.00E+00 0.00E+00
 1815.0 2.20E-18 1.10E-18 1.10E-18 0.00E+00 0.00E+00
 1816.0 1.73E-18 8.65E-19 8.65E-19 0.00E+00 0.00E+00
 1817.0 2.10E-18 1.05E-18 1.05E-18 0.00E+00 0.00E+00
 1818.0 2.51E-18 1.26E-18 1.26E-18 0.00E+00 0.00E+00
 1819.0 2.19E-18 1.09E-18 1.09E-18 0.00E+00 0.00E+00
 1820.0 1.72E-18 8.60E-19 8.60E-19 0.00E+00 0.00E+00
 1821.0 2.41E-18 1.20E-18 1.20E-18 0.00E+00 0.00E+00
 1822.0 4.41E-18 2.20E-18 2.20E-18 0.00E+00 0.00E+00
 1823.0 4.13E-18 2.07E-18 2.07E-18 0.00E+00 0.00E+00
 1824.0 3.60E-18 1.80E-18 1.80E-18 0.00E+00 0.00E+00
 1825.0 2.79E-18 1.40E-18 1.40E-18 0.00E+00 0.00E+00
 1826.0 2.47E-18 1.23E-18 1.23E-18 0.00E+00 0.00E+00
 1827.0 2.89E-18 1.45E-18 1.45E-18 0.00E+00 0.00E+00
 1828.0 3.66E-18 1.83E-18 1.83E-18 0.00E+00 0.00E+00
 1829.0 2.97E-18 1.48E-18 1.48E-18 0.00E+00 0.00E+00
 1830.0 2.31E-18 1.16E-18 1.16E-18 0.00E+00 0.00E+00
 1831.0 1.97E-18 9.85E-19 9.85E-19 0.00E+00 0.00E+00
 1832.0 2.63E-18 1.31E-18 1.31E-18 0.00E+00 0.00E+00
 1833.0 2.63E-18 1.31E-18 1.31E-18 0.00E+00 0.00E+00
 1834.0 2.94E-18 1.47E-18 1.47E-18 0.00E+00 0.00E+00
 1835.0 2.88E-18 1.44E-18 1.44E-18 0.00E+00 0.00E+00
 1836.0 3.64E-18 1.82E-18 1.82E-18 0.00E+00 0.00E+00
 1837.0 4.77E-18 2.39E-18 2.39E-18 0.00E+00 0.00E+00
 1838.0 5.37E-18 2.68E-18 2.68E-18 0.00E+00 0.00E+00
 1839.0 4.16E-18 2.08E-18 2.08E-18 0.00E+00 0.00E+00
 1840.0 3.53E-18 1.76E-18 1.76E-18 0.00E+00 0.00E+00
 1841.0 2.95E-18 1.48E-18 1.48E-18 0.00E+00 0.00E+00
 1842.0 2.55E-18 1.27E-18 1.27E-18 0.00E+00 0.00E+00
 1843.0 2.22E-18 1.11E-18 1.11E-18 0.00E+00 0.00E+00
 1844.0 2.27E-18 1.13E-18 1.13E-18 0.00E+00 0.00E+00
 1845.0 2.16E-18 1.08E-18 1.08E-18 0.00E+00 0.00E+00
 1846.0 3.09E-18 1.55E-18 1.55E-18 0.00E+00 0.00E+00
 1847.0 5.59E-18 2.80E-18 2.80E-18 0.00E+00 0.00E+00
 1848.0 5.65E-18 2.82E-18 2.82E-18 0.00E+00 0.00E+00
 1849.0 4.31E-18 2.16E-18 2.16E-18 0.00E+00 0.00E+00
 1850.0 3.62E-18 1.81E-18 1.81E-18 0.00E+00 0.00E+00
 1851.0 4.16E-18 2.08E-18 2.08E-18 0.00E+00 0.00E+00
 1852.0 4.23E-18 2.11E-18 2.11E-18 0.00E+00 0.00E+00
 1853.0 4.41E-18 2.20E-18 2.20E-18 0.00E+00 0.00E+00
 1854.0 3.93E-18 1.96E-18 1.96E-18 0.00E+00 0.00E+00
 1855.0 3.17E-18 1.59E-18 1.59E-18 0.00E+00 0.00E+00
 1856.0 2.40E-18 1.20E-18 1.20E-18 0.00E+00 0.00E+00
 1857.0 3.40E-18 1.70E-18 1.70E-18 0.00E+00 0.00E+00
 1858.0 3.79E-18 1.89E-18 1.89E-18 0.00E+00 0.00E+00
 1859.0 3.19E-18 1.59E-18 1.59E-18 0.00E+00 0.00E+00
 1860.0 2.75E-18 1.38E-18 1.38E-18 0.00E+00 0.00E+00
 1861.0 4.58E-18 2.29E-18 2.29E-18 0.00E+00 0.00E+00
 1862.0 6.98E-18 3.49E-18 3.49E-18 0.00E+00 0.00E+00
 1863.0 6.14E-18 3.07E-18 3.07E-18 0.00E+00 0.00E+00
 1864.0 5.83E-18 2.91E-18 2.91E-18 0.00E+00 0.00E+00
 1865.0 5.49E-18 2.75E-18 2.75E-18 0.00E+00 0.00E+00
 1866.0 4.05E-18 2.03E-18 2.03E-18 0.00E+00 0.00E+00
 1867.0 3.46E-18 1.73E-18 1.73E-18 0.00E+00 0.00E+00
 1868.0 2.99E-18 1.49E-18 1.49E-18 0.00E+00 0.00E+00
 1869.0 3.36E-18 1.68E-18 1.68E-18 0.00E+00 0.00E+00
 1870.0 2.70E-18 1.35E-18 1.35E-18 0.00E+00 0.00E+00
 1871.0 2.38E-18 1.19E-18 1.19E-18 0.00E+00 0.00E+00
 1872.0 6.60E-18 3.30E-18 3.30E-18 0.00E+00 0.00E+00
 1873.0 7.57E-18 3.79E-18 3.79E-18 0.00E+00 0.00E+00
