 Lambda  Total   C+SO     O+CS     CO+S     S+CO     CS+O     COS+     CO/S1S   CS/O     CO/S1D   CS/O1D   CO/S    
 1110.0 2.45E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.21E-17 2.45E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1120.0 2.25E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.02E-17 2.25E-18 0.00E+00 0.00E+00 0.00E+00 0.00E+00
 1130.0 2.20E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.47E-18 0.00E+00 0.00E+00 2.20E-18 1.73E-17
 1137.0 2.70E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.27E-18 0.00E+00 0.00E+00 4.59E-18 1.91E-17
 1140.0 1.75E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.19E-18 0.00E+00 0.00E+00 3.50E-18 1.18E-17
 1145.0 2.55E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.35E-18 0.00E+00 0.00E+00 6.38E-18 1.58E-17
 1148.0 1.50E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.03E-18 0.00E+00 0.00E+00 4.20E-18 8.77E-18
 1150.0 2.60E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 3.58E-18 0.00E+00 0.00E+00 7.80E-18 1.46E-17
 1158.0 1.70E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 2.51E-18 0.00E+00 0.00E+00 6.46E-18 8.03E-18
 1164.0 3.50E-17 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 5.43E-18 0.00E+00 0.00E+00 1.54E-17 1.42E-17
